2025-09-12 11:19:31 [main] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 11:19:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 11:19:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 125 ms. Found 6 JPA repository interfaces.
2025-09-12 11:19:36 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 11:19:38 [main] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 11:19:38 [main] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 7225 ms
2025-09-12 11:22:13 [http-nio-8080-exec-4] INFO  c.s.a.S.CustomerServiceImp - Adding the Customer Detailscom.supermarketmanagement.api.Model.Custom.Customer.CustomerListDto@3ccf73dd
2025-09-12 11:54:35 [main] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 11:54:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 11:54:36 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 141 ms. Found 6 JPA repository interfaces.
2025-09-12 11:54:40 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 11:54:42 [main] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 11:54:42 [main] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 6972 ms
2025-09-12 11:55:02 [Catalina-utility-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 11:55:21 [Catalina-utility-1] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 11:55:22 [Catalina-utility-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 11:55:22 [Catalina-utility-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 184 ms. Found 6 JPA repository interfaces.
2025-09-12 11:55:28 [Catalina-utility-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 11:55:32 [Catalina-utility-1] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 11:55:32 [Catalina-utility-1] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 10529 ms
2025-09-12 12:05:46 [Catalina-utility-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:06:08 [main] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 12:06:09 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 12:06:09 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 141 ms. Found 6 JPA repository interfaces.
2025-09-12 12:06:13 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:06:15 [main] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 12:06:15 [main] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 7125 ms
2025-09-12 12:10:08 [Catalina-utility-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:10:19 [Catalina-utility-2] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 12:10:19 [Catalina-utility-2] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 12:10:19 [Catalina-utility-2] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 91 ms. Found 6 JPA repository interfaces.
2025-09-12 12:10:23 [Catalina-utility-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:10:24 [Catalina-utility-2] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 12:10:24 [Catalina-utility-2] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 5536 ms
2025-09-12 12:13:13 [Catalina-utility-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:13:25 [Catalina-utility-1] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 12:13:26 [Catalina-utility-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-09-12 12:13:27 [Catalina-utility-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 232 ms. Found 6 JPA repository interfaces.
2025-09-12 12:13:32 [Catalina-utility-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:13:34 [Catalina-utility-1] INFO  o.s.s.c.TaskSchedulerRouter - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-09-12 12:13:34 [Catalina-utility-1] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 8578 ms
2025-09-12 12:14:04 [Catalina-utility-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-09-12 12:14:20 [Catalina-utility-2] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcher'
2025-09-12 12:14:21 [Catalina-utility-2] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
